Candidato,Partido,Número,Votos
Samuel Salazar,PRTB,28222,4252
Joselito Ferreira,PP,11112,4250
Bruno Pinho Alves,PRTB,28123,4217
Dra. Vera Lopes,PPS,23655,4146
Vânio Silva,SD,77977,3850
Marcos Justino,PRTB,28111,3821
Zé Neto,PV,43999,3766
Maria do Céu,PPS,23024,3704
Henrique Seixas,PRTB,28888,3687
Cida Pedrosa,PC do B,65613,3682
Júnior de Cleto,PEN,51999,3620
Eri,PSD,55166,3599
Fernando Holanda,REDE,18123,3480
Rodrigo Vidal,PSB,40999,3290
Melqui Roma,PP,11041,3232
Edson Barros,PRTB,28628,2966
George Braga,PC do B,65000,2937
Niel da Farmácia,PSB,40655,2935
Flávia Santos,PSDC,27027,2932
Terezinha Nunes,PSDB,45123,2918
Dr. Antônio Stênio,PC do B,65400,2902
Rogério Magalhães,DEM,25222,2898
Goretti Queiroz,PR,22022,2862
Manoel Pinheiro,PTC,36777,2744
Augustinho Carrara,PSD,55550,2726
Nelsinho,PTC,36055,2689
Professor Paulo Roberto,SD,77077,2680
Lula Legal,PEN,51004,2667
Kazé,PEN,51233,2598
Thiago Dias,PSDB,45645,2587
Bione,PSOL,50222,2570
Joaquim Pedro,PSDB,45678,2554
Josias Amaral,PEN,51251,2550
Danilo Alves,PRTB,28110,2448
André Maciel,PEN,51500,2441
Professor Erivelte,PRP,44122,2437
Priscila Ferraz,PRTB,28800,2347
Elias Francisco,PEN,51222,2341
Thalles Cherles,PPL,54789,2305
Eduardo Figueiredo,PSD,55444,2298
Bira Tavares,PP,11333,2290
Severino,PSOL,50123,2287
Gustavo Gesteira,DEM,25252,2230
Giroldo,PSDB,45543,2200
Ronaldo Lopes,PSD,55222,2142
Karla Falcão,PSL,17700,2046
Ricardo Serralheiro,PSC,20650,1920
Eduardo Amancio,PDT,12012,1909
Professor Mirinho,PHS,31123,1893
Henrique Conde,PTC,36166,1892
Zezo Equipadora,PV,43222,1717
Gabriel,PRTB,28000,1709
Edson Alves,PTC,36123,1695
Silano Barros,PC do B,65065,1676
Irmão Valdemar Melo Taxista,PSC,20777,1669
Bruno Reis,PRB,10111,1667
Rico Show,PEN,51444,1649
Josenildo Sinesio,SD,77123,1621
Waldemis Ferreira,PC do B,65555,1610
Alfredo Mariano,PRTB,28692,1600
Cleto Correia,PSC,20100,1590
Atravessando A Nado,SD,77632,1580
Pedro Josephi,PSOL,50500,1566
Ari Carvalho,PSC,20444,1562
Geraldo Queiros,PSDC,27123,1527
Renata André Gomes,PEN,51022,1507
Elson Ótica,PRB,10010,1507
Bob do Táxi,PRP,44100,1494
Marco Será,PTC,36456,1486
Luizinho da Funerária,PMN,33650,1454
Prof. Zé Luís,PC do B,65100,1447
Leo Cisneiros,PSOL,50007,1390
Paulo Pacifico,PPL,54000,1375
João Goteira,PRTB,28640,1369
Gracinha Almeida,PPL,54111,1368
Beatriz Vidal,SD,77000,1355
Almir Vasconcelos,PR,22123,1354
Felipe Ferreira Lima,PPS,23111,1351
Nelio Fonseca,PSD,55001,1336
Sandro Lima,PTC,36633,1329
Henrique Marreco Leite,PSL,17609,1328
Edilson do Metro,PTC,36890,1311
Henrique Lima,PT,13111,1253
Irmão Valmir,PSD,55333,1250
Dário Pessoa,PEN,51003,1223
Jelton,PEN,51100,1214
Thiago Carvalho,PSOL,50650,1197
Israel Vaz,PRTB,28899,1192
Professor Edson Junior,PEN,51061,1181
Noelia Brito,PMN,33190,1177
Tassio Rennalli,PPL,54666,1165
Neide Santana,PRTB,28627,1157
Fillip da Farmácia,PSD,55655,1154
Rufino,PRTB,28011,1146
Mario Brasiliano,PSC,20615,1146
Nido Poeirão,PSC,20665,1133
Becinha,PSC,20321,1127
Brivaldo Jatobá,PEN,51051,1125
Jarlan,PRP,44222,1090
Pedro Leão,PEN,51234,1086
Dr. Elcio Cavalcanti,PP,11615,1049
Suetonio de Brasilia Teimosa,PRTB,28400,1040
Altair Ferreira,PEN,51451,1019
Professor Jair,PROS,90010,1013
Bruno Pantoja,PR,22222,991
Sargento Assis,PEN,51115,990
Edna Costa,PPL,54054,987
Geraldo da Foto,PP,11444,985
Angelo Lima,PTC,36363,984
Guga Carvalho,PV,43800,979
Hamilton Brito,PRTB,28543,963
Pereira da União,PSC,20112,936
Professor Murilo Mendonça,PEN,51232,928
Luana Ramos,PTB,14112,926
Leandro Boca,PSD,55122,911
Neto Guerreiro,PPS,23123,909
Murilo Vieira,PTC,36193,908
Pink,PSC,20888,901
Sergio Aroucha,PSD,55155,885
Iremar Júnior,PRP,44555,882
Washington Pm,PTC,36190,873
Leo Cabeça,PSDB,45345,862
Leandro Souza,REDE,18018,862
Geferson Silva,SD,77112,855
Rui Leite,PP,11190,842
Irmão Ronaldo da Rádio,PSD,55114,832
Marcos Ferreira,PT,13013,824
Luiz Mario da Raio Laser,PSC,20631,822
Fábio Assis,PV,43123,816
Jurandir Paz Juba,PSC,20190,807
Angela Dantas,PSD,55551,803
Mauricio Lock Tudo,PRTB,28789,795
Minininho,PRP,44344,790
Rildo Accioly,PSDB,45100,777
Mi,PP,11110,757
Melka,PC do B,65111,740
Sula Esporte,PSDC,27321,730
Andréa Iglesias,DEM,25192,728
Leo da Auto Escola,PTC,36736,723
Hugo Mendes (bigode),PPL,54222,722
Irmão Moisés Eurico,PTC,36036,715
Fernando Santos,PPL,54688,711
George Laranjeira Gibson,SD,77111,709
